Title,URL,Post,Publication Date
SENAI: Matriculas abertas para curso de Torneiro Mecânico,https://carlsonpessoa.blogspot.com/2024/11/senai-matriculas-abertas-para-curso-de_01935710265.html,,Unknown date
Parnahyba vence Oeirense no Pedro Alelaf em sua estreia no Campeonato Piauiense 2025,https://carlsonpessoa.blogspot.com/2025/01/parnahyba-vence-oeirense-no-pedro.html,"Em jogo marcado por dois gols contra e expulsões, Tubarão vence Cachorro Louco empata na liderança do Grupo B com o PiauíParnahyba vence Oeirense e avança no Campeonato Piauiense 2025 - Foto: PSCO Parnahyba venceu o Oeirense, por 2 a 1, na tarde deste domingo, no estádio Pedro Alelaf, no litoral, pela primeira rodada do Grupo B do Campeonato Piauiense.Danilo, contra, e Emílio sacramentaram a vitória do Tubarão. O gol do Oeirense foi marcado por Emílio, também contra.No início do jogo, em geral, foi uma primeira etapa equilibrada. Apesar de jogar fora de casa, o Oeirense conseguiu ter mais posse de bola no começo do jogo.Torcida compareceu em peso para apoiar o Tubarão no Pedro Alelaf-Foto: PSCContudo, o Parnahyba tomou as rédeas da partida, começou a colocar em prática seu ritmo e soube controlar as ações do adversário. Até que aos 25 minutos, após cruzamento de Xexéu, Danilo se atrapalhou e marcou contra.O Cachorro Louco até tentou ensaiar uma reação, porém, sem sucesso.Na segunda etapa, o Parnahyba começou com um volume maior de jogo, empurrando o adversário para seu campo defensivo.Aos 14 minutos, Emílio foi até a área e ampliou a vantagem para o Tubarão.O cenário da partida mudou quando Emerson foi expulso, e com isso, o Oeirense conseguiu criar mais chances de perigo.Aos 35 minutos, após cruzamento de Rhuann, Emílio se atrapalhou e acabou diminuindo o placar para o Cachorro Louco. No fim de jogo, Eddy, do Oeirense, acabou sendo expulso por pisar em Xexéu.Na segunda rodada do Grupo B do Campeonato Piauiense, o Parnahyba vai enfrentar o Piauí no dia 20 de janeiro (segunda-feira), às 19h, no estádio Albertão, em Teresina.Jogadores do Parnahyba comemoram a vitória no vestiário- Foto: PSCNo outro jogo da rodada pelo grupo A, o Altos venceu o Fluminense por 1x0 no Estádio Albertão em Teresina.Fonte: GE-PI l Edição: Jornal da Parnaíba",Unknown date
DonaMana Água Mineral,https://carlsonpessoa.blogspot.com/2023/12/donamana-agua-mineral.html,Envie uma mensagem para Agua DonaMana no WhatsApp clicandoaqui.,Unknown date
Homem de 49 anos é agredido violentamente com facão em Parnaíba,https://carlsonpessoa.blogspot.com/2025/01/homem-de-49-anos-e-agredido.html,"Um homem identificado como Ivanildo Silva Pereira, 49 anos, foi agredido a base de facão nesta manhã de sábado(11), na Rua Companheiro José Alfredo, bairro Canta Galo em Parnaíba.O autor da agressão foi preso pela ROCAM quase em frente ao Detran no bairro São Benedito.Em posse do acusado de lesão corporal, ora identificado como Ociomar José da Costa da Silva, 28 anos, o FERA, foi apreendido um facão, usado nas agressões.A vítima foi socorrida para o hospital e na sequencia, para prestar queixa ao delegado Rodrigo Mello, na central de flagrantes.Contou que o Fera chegou na sua casa embriagado e o ameaçou de morte, sendo atingido na cabeça, orelha, rosto e outras partes do corpo.Momento da prisão.Acusado da agressão, o conhecido FERA.Facão apreendido pela RocamVitima das agressões.",Unknown date
OFERTAS DA SEMANA PARAÍBA,https://carlsonpessoa.blogspot.com/2025/01/ofertas-da-semana-paraiba_12.html,,Unknown date
Idoso é morto a tiros após discussão com camelô no litoral,https://carlsonpessoa.blogspot.com/2025/01/idoso-e-morto-tiros-apos-discussao-com.html,"João Batista Ferreira de Miranda, de 69 anos, foi morto a tiros na noite deste sábado (11/01) após uma discussão com um camelô, no Povoado Macapá, em Luís Correia, litoral do Piauí. A Polícia Militar informou que o crime teria sido motivado por uma dívida relacionada à compra de uma cama, feita pelo idoso com o vendedor.Segundo a PM, o camelô teria se irritado com a demora no pagamento e, após uma cobrança, ameaçou o idoso. ""O camelô disse que ele pagaria no dia ou 'pagaria na bala'"", relatou um policial. O autor dos disparos ainda não foi localizado.A perícia esteve no local para coletar evidências iniciais, e o caso foi transferido para a Delegacia de Parnaíba, onde a Polícia Civil dará continuidade às investigações para esclarecer as circunstâncias do crime e identificar o responsável pelos tiros.",Unknown date
LITORAL: Suspeito de estuprar filha de 10 anos e compartilhar imagens é preso no Piauí,https://carlsonpessoa.blogspot.com/2025/01/litoral-suspeito-de-estuprar-filha-de.html,"A Delegacia Especializada no Atendimento à Mulher e Grupos Vulneráveis (DEAMGV) de Luís Correia prendeu um homem suspeito de estuprar sua própria filha de 10 anos. A prisão ocorreu no povoado São Benedito, zona rural de Luís Correia, litoral do Piauí, neste sábado (11/01).Foto: ReproduçãoHomem é preso por estuprar filha de 10 anos e compartilhar imagens em grupos no PiauíSegundo a polícia, o homem não apenas cometeu o estupro, mas também registrou o crime e compartilhou as imagens em grupos de pornografia em um aplicativo de mensagens. O nome do suspeito não foi divulgado para proteger a identidade da vítima.A polícia informou que as investigações continuam e, assim que concluídas, o inquérito será encaminhado à Justiça para adoção das medidas cabíveis. A data dos abusos não foi divulgada.",Unknown date
Rafael Fonteles sanciona lei que restringe uso de dispositivos eletrônicos em escolas,https://carlsonpessoa.blogspot.com/2025/01/rafael-fonteles-sanciona-lei-que.html,"O governador do Piauí, Rafael Fonteles, anunciou neste sábado (11/01) a promulgação da Lei nº 8563/2025, que proíbe o uso de celulares, tablets e relógios inteligentes em escolas públicas e privadas do estado, exceto quando utilizados para fins pedagógicos. A medida busca garantir um ambiente escolar mais focado no aprendizado.A nova legislação reforça a importância de utilizar a tecnologia de forma moderada e consciente. Embora reconheça os benefícios tecnológicos para a educação, a lei estabelece limites para evitar distrações durante as aulas, promovendo a formação acadêmica como prioridade.O governador destacou que a educação de qualidade deve estar sempre em primeiro lugar e que o uso controlado da tecnologia é essencial nesse processo. A medida já está em vigor e abrange todas as instituições de ensino do estado, tanto públicas quanto privadas.",Unknown date
Joel Rodrigues destaca Margarete Coelho como possível candidata ao Governo do Piauí,https://carlsonpessoa.blogspot.com/2025/01/joel-rodrigues-destaca-margarete-coelho.html,"A ex-vice-governadora e ex-deputada federal Margarete Coelho está entre os nomes cogitados pelo Progressistas para disputar o Governo do Piauí nas eleições de 2026. A informação foi confirmada nesta sexta-feira (09/01) pelo presidente estadual do partido, Joel Rodrigues, e pelo senador Ciro Nogueira, líder nacional da sigla. Outros nomes na pauta da oposição incluem a deputada estadual Gracinha Mão Santa e o próprio Joel Rodrigues.Joel destacou a importância de ampliar as opções para a oposição e elogiou Margarete Coelho como um nome qualificado e experiente dentro do partido. Ele também mencionou a força de Gracinha Mão Santa, apontando que as duas são exemplos de mulheres preparadas para contribuir com o estado. A escolha final, segundo Joel, será baseada no sentimento popular e na viabilidade política.O senador Ciro Nogueira reforçou que o partido está avaliando os possíveis candidatos para o Palácio de Karnak. Ele afirmou que a definição será feita no momento adequado e que a oposição apresentará uma opção sólida para enfrentar o governo nas próximas eleições estaduais.",Unknown date
Mab Pizzaria - A Mais Gostosa da Cidade,https://carlsonpessoa.blogspot.com/2024/04/mab-pizzaria-mais-gostosa-da-cidade.html,,Unknown date
Polícia prende duas pessoas por tráfico de drogas em Parnaíba,https://carlsonpessoa.blogspot.com/2025/01/policia-prende-duas-pessoas-por-trafico.html,"APolícia Civil do Piauí,
por meio da 2ª Divisão de Tráfico de Drogas e com o apoio da 1ª e 2ª Delegacias
Seccionais de Parnaíba, realizou nessa sexta-feira (10) uma operação no bairro
Planalto, em Parnaíba, que resultou no cumprimento de quatro mandados de busca
e apreensão.Durante a operação, dois homens, de iniciais M.D.S.S. e A.K.S.S.,
foram presos em flagrante pelo crime de tráfico de drogas.Além das
prisões, a ação levou à apreensão de diversos itens, incluindo: dois aparelhos
celulares; R$ 1.337,00 (mil trezentos e trinta e sete reais) em espécie; sacos
plásticos contendo drogas embaladas, com substâncias semelhantes a maconha,
crack e cocaína; duas balanças de precisão; e uma motocicleta Honda Fan de cor
preta.A Polícia Civil destaca a relevância da participação da sociedade
no combate ao crime e incentiva o envio de denúncias anônimas, que podem ser
realizadas pelo sitehttps://bit.ly/denunciapcphbou pelo
telefone (86) 99557-2241.",Unknown date
Clinica Viva: Atendimento em enfermagem,https://carlsonpessoa.blogspot.com/2023/11/clinica-viva-atendimento-em-enfermagem.html,,Unknown date
Motociclista morre em colisão na BR 402 em Parnaíba,https://carlsonpessoa.blogspot.com/2025/01/motociclista-morre-em-colisao-na-br-402.html,"TRAGÉDIAO motociclista Evandro Santos de Santana, 38 anos - natural de Parnaíba, morreu nas primeiras horas da manhã deste domingo(12), no trecho da BR 402, em frente a propriedade do Oliveira, depois do bar do limão, na estrada em direção ao município de Chaval no Ceará.A vítima pilotava uma Honda pop, quando colidiu na traseira de alguma estrutura parada ou movimento na rodovia, possivelmente caminhão ou carroça, ou mesmo outro veículo, que não foi localizado na cena do acidente com a chegada da polícia rodoviária federal. O IML removeu o corpo da vítima!Veja fotos e vídeos:Vítima de duas rodasLocal do acidenteNa margem da pista objetos da vítima.O local é palco de muitos acidentes com vítimas fatais ou não.Morador das imediações, Rogério do Nestor, disse à reportagem o seguinte: ""MAIS UM"", se referindo ao número de mortos de acidentes que sempre ocorre ao longo da rodovia por falta de estrutura, principalmente, acostamento.PRF no local do sinistro.",Unknown date
VÍDEO: Monumento do ilustre Dr.D'assis Cajubá colocado na avenida que leva seu nome,https://carlsonpessoa.blogspot.com/2025/01/video-monumento-do-ilustre-drdassis.html,"Na rotatória da BR 402, com a Avenida Dr. D'assis Cajubá, o o monumento com busto do ilustre parnaibano, jurista, e fundador da UFPI Campos de Parnaíba, hoje UFDPAR, conselheiro, dentre outras grandes virtudes dedicadas a cidade de Parnaíba. Uma das figuras mais importantes que eu conheci em vida. E aqui foi colocado nome de Avenida Dr. D'assis Cajubá. Um projeto de lei, do então Vereador Carlson Pessoa, sancionada pelo prefeito Mão Santa, a antiga 19 de Outubro. Saudar a família, em nome dos também amigos, Dr. Roberto Cajubá, Dr. Dassisinho, da Dra. Silvia, do nosso Dr. Cajubá Neto e dos demais filhos e netos.Veja o vídeo abaixo;",Unknown date
Aluguel imóvel comercial no centro de Parnaíba. Confira:,https://carlsonpessoa.blogspot.com/2024/06/aluguel-imovel-comercial-no-centro-de.html,"Excelente imóvel comercial situado no centro de Parnaíba, com várias salas e amplo espaço interno. Agende sua visita.O imóvel conta com 5 salas, 01 recepção, copa/cozinha e 04 banheiros. Confira:",Unknown date
CANTINHO DO CAMARÃO - Funcionando no Calçadão Cultural na Beira Rio e no Ideal Mall na São Sebastião,https://carlsonpessoa.blogspot.com/2024/05/cantinho-do-camarao-funcionando-no.html,,Unknown date
Beto Depósito de Babidas em Geral,https://carlsonpessoa.blogspot.com/2024/04/beto-deposito-de-babidas-em-geral.html,,Unknown date
Tudo pronto para Parnahyba x Oeirense neste domingo(12) no Pedro Alelaf,https://carlsonpessoa.blogspot.com/2025/01/tudo-pronto-para-parnahyba-x-oeirense.html,"O Parnahyba encerrou sua pré-temporada e iniciou o processo de concentração para o duelo com o Oeirense,  neste domingo (12), ás 16h no Estádio Municipal Comendador Pedro Alelaf pela estreia do Campeonato Piauiense 2025.Torcida promete lotar as dependências do Piscinão do Tubarão - Foto:Renneé FonteneleO clube tem seis baixas para 1ª rodada e a última atividade tática ocorreu no estádio Pedro Alelaf, palco do jogo da primeira rodada do torneio - sob o comando do técnico Arnaldo Lira.Para esta estreia, seis jogadores não foram regularizados no sistema de atletas da Confederação Brasileira de Futebol (CBF).São eles:os laterais Raí e Nailton, volante Kennedy, o meia Sukita e o atacante Lorismar. Além deles, o meio-campo Victor Codó sentiu um desgaste muscular e também baixa confirmada.Veja provável escalação do Parnahyba:Janilson, Edson, Emílio, Jailton e Gabriel Gomes; Xexéu, Samuel e Leandro Sobral; Ronda, Rafael Teixeira e Emerson.O Parnahyba vai abrir a temporada de 2025 na disputa do Campeonato Piauiense, onde está no Grupo B junto com Oeirense, 4 de Julho e Piauí.Treino do Parnahyba — Foto: Guilherme CarneiroNa rodada de abertura no sábado (11) , o Atlético Piauiense venceu o River por 2x1 no Estádio Albertão em Teresina, já em Piripiri, na Arena Ytacoatiara o 4 de Julho perdeu para o Piauí por 4x3.O Tubarão do Litoral conta com sua  apaixonada torcida, que é seu 12º jogador que promete um espetáculo à parte na tarde deste domingo.Arbitragem:Árbitro: Jardiel da Rocha Soares;Assistente 1: Rogério de Oliveira Braga;Assistente 2: Raimundo Davi dos Reis Alves;Quarto Árbitro: Lucas de Lima Santos.Por Jornal da Parnaíba",Unknown date
ATENÇÃO - Todos contra a dengue,https://carlsonpessoa.blogspot.com/2024/03/atencao-todos-contra-dengue.html,,Unknown date
Rafael Fonteles anuncia Jelta Veículos como patrocinadora máster do Campeonato Piauiense 2025,https://carlsonpessoa.blogspot.com/2025/01/rafael-fonteles-anuncia-jelta-veiculos.html,"O governador Rafael Fonteles anunciou uma importante conquista para o futebol piauiense: a Jelta Veículos é a nova patrocinadora máster do Campeonato Piauiense 2025, fortalecendo o esporte no estado. Fonteles também parabenizou a TV Clube e a TV Cidade Verde pela iniciativa de transmitir os jogos, contribuindo para a valorização do campeonato.View this post on InstagramA post shared by Rafael Fonteles (@rafael.fonteles)Além disso, o governador destacou o trabalho da Onix, da Federação de Futebol do Piauí e da Secretaria de Esportes do Estado na organização do evento.Os primeiros jogos da competição acontecem neste fim de semana:11/01: Atlético-PI x River-PI (Albertão, 16h)11/01: 4 de Julho x Piauí (Arena Ytacoatiara, 16h)12/01: Altos x Fluminense-PI (Albertão, 16h)12/01: Parnahyba x Oeirense (Pedro Alelaf, 16h)O Campeonato promete ser uma grande atração para os amantes do futebol piauiense.",Unknown date
Viscossuplementação: Dr. Felipe Machado - Dores no Joelho?,https://carlsonpessoa.blogspot.com/2024/10/viscossuplementacao-dr-felipe-machado.html,"Viscossuplementação consiste na aplicação de ácido hialurônico diretamente na articulação, auxilia na absorção de impactos do joelho e diminui a inflamação presentes nos joelhos.Indicação de Artrose e sinovite Procedimento realizado no consultório, entre em contato e agende seu horário.De Felioe MachadoOrtopedistaSubespecialista em joelhoPraiana med . Ao lado OAB , perto quadrilhodromo, Parnaíba Pi(86)99596-6970",Unknown date
CASA À VENDA,https://carlsonpessoa.blogspot.com/2024/03/casa-venda.html,"LOCALIZADA NO RESIDENCIAL CONVIVER “I” – CASA DUPLEX – PRÓXIMO À LOJA
CATATAU PNEUS, BAIRRO SÃO JUDAS TADEU – PARNAÍBA - PI.EDIFICADA EM TERRENO DE ESQUINA, FRENTE PARA O NASCENTE.PAVIMENTO TÉRREO: PISCINA, ÁREA DE LAZER, LAVABO, GARAGEM, SALA, SUÍTE,
COPA, COZINHA, ÁREA DE SERVIÇO E POÇO ARTESIANO.PAVIMENTO SUPERIOR: VARANDA, SUÍTE C/ CLOSET, SALA INTIMA, DUAS SUÍTES
COM DUAS VARANDAS. IMÓVEL COM ÁREA CONSTRUÍDA DE 332,22m², EM LOTE DE
TERRENODE 10m x 35m.CONTATOS: ZAP 86 99935-7566ZAP86 98808-3939ZAP96 98124-7566 - CRECI/PI n° 807",Unknown date
Clinica Viva - Consultas e Exames,https://carlsonpessoa.blogspot.com/2023/07/clinica-viva-consultas-e-exames_27.html,,Unknown date
Vaticano decide permitir que homens gays entrem no seminário,https://carlsonpessoa.blogspot.com/2025/01/vaticano-decide-permitir-que-homens.html,"O Vaticano divulgou novas regras afirmando que homens gays não podem ser rejeitados nos seminários apenas por sua orientação sexual, mas devem, como os demais, manter o celibato. A orientação é que os dirigentes considerem a homossexualidade apenas como um aspecto da personalidade do candidato a padre.A regra não muda o entendimento da Igreja Católica de que ""tendências homossexuais"" são uma ""desordem"", mas deixa de colocar a orientação sexual como um critério eliminatório para os seminaristas.As regras, adotadas na Conferência de Bispos da Itália e aprovadas pelo Vaticano, entraram em vigor esta semana e devem valer por três anos em período de teste.Ao jornal The New York Times, o reverendo James Martin, que defende que Igreja Católica acolha a população LGBTQI+, disse que, em sua leitura, a regra mostra que ""se um homem gay é capaz de levar uma vida emocional saudável, casta e celibatária, ele pode ser admitido no seminário"".Em maio do ano passado, o Papa Francisco chegou a pedir desculpas publicamente por uma fala homofóbica. Ao recomendar que os bispos não acolhessem pessoas homossexuais nos seminários, Francisco havia dito que já havia 'bichice' demais na igreja"".Na ocasião, o Papa havia reafirmado a proibição para homens gays entrassem em seminários e fossem ordenados padres. O porta-voz do Vaticano, Matteo Bruni, disse que ""o papa nunca teve a intenção de ofender ou de se expressar em termos homofóbicos"".Em julho de 2013, em visita ao Brasil, o Papa reafirmou que o casamento entre pessoas do mesmo sexo é um ato pecaminoso, mas ponderou que, ""se uma pessoa é gay e busca a Deus, quem ou eu para julgá-la.""",Unknown date
